title,author(s),year,edition,publisher,language,pages,category(s),ISBN_13,rating(5)
Data Science from Scratch: First Principles with Python,Joel Grus,2019,Second Edition,O’Reilly Media,english,406,Computers - Programming,9781492041139,4.5
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Robert Johansson,2019,2,Apress,english,700,Computers - Computer Science,9781484242452,5.0
"Data Analytics: Practical Guide to Leveraging the Power of Algorithms, Data Science, Data Mining, Statistics, Big Data, and Predictive Analysis to Improve Business, Work, and Life",Arthur Zhang,2017,,,english,,,,3.0
"Data Analysis From Scratch With Python: Beginner Guide using Python, Pandas, NumPy, Scikit-Learn, IPython, TensorFlow and Matplotlib",Peters Morgan,2018,Kindle Edition,AI Sciences LLC,english,153,Computers - Algorithms and Data Structures,,5.0
Python Data Science Handbook.  Essential Tools for Working with Data,Jake VanderPlas,2016,,O'Reilly Media,english,548,,,5.0
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","Hadley Wickham, Garrett Grolemund",2017,1,O’Reilly Media,english,522,Mathematics,9781491910399,0.0
Data Science with R A Step By Step Guide With Visual Illustrations and Examples,Andrew Oleksy,2018,,Andrew Oleksy,english,201,Mathematics - Mathematical Statistics,,5.0
Data Science for Business: What You Need to Know About Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett",2013,,O'Reilly Media,english,408,Mathematics,9781449361327,4.5
The Art of Data Science: A Guide for Anyone Who Works with Data,"Roger D. Peng, Elizabeth Matsui",2015,1,,english,162,Computers - Algorithms and Data Structures,,2.5
"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools","Davy Cielen, Arno Meysman, Mohamed Ali",2016,1,Manning Publications,english,320,Computers - Computer Science,9781633430037,5.0
Machine Learning: The Art and Science of Algorithms that Make Sense of Data,Peter Flach,2012,,Cambridge University Press,english,416,Computers - Computer Science,9781107422223,0.0
Data Science For Dummies,Lillian Pierson,2015,1st,John Wiley & Sons,english,483,Computers - Programming,9781118841556,5.0
"Python Data Science: The Ultimate Handbook for Beginners on How to Explore NumPy for Numerical Data, Pandas for Data Analysis, IPython, Scikit-Learn and Tensorflow for Machine Learning and Business",Steve Blair,2019,,Steve Blair,english,216,Computers - Programming,9781081068004,0.0
Practical Web Scraping for Data Science: Best Practices and Examples with Python,"Seppe vanden Broucke, Bart Baesens",2018,1st ed.,Apress,english,306,Business & Economics - Industries,9781484235812,4.0
Statistics: The Art and Science of Learning from Data,"Christine A. Franklin, Bernhard Klingenberg, Alan Agresti",2017,4,Pearson,english,817,Mathematics,9781292164779,0.0
Analytics in a Big Data World: The Essential Guide to Data Science and its Applications,Bart Baesens,2014,1,Wiley,english,256,Business & Economics - Management & Leadership,,0.0
Data Science,"John D. Kelleher, Brendan Tierney",2018,,The MIT Press,english,280,,,5.0
Principles of Data Science,Sinan Ozdemir,2016,,Packt Publishing,english,389,Computers - Programming,9781785887918,0.0
The data science handbook,"Cady, Field",2017,,John Wiley & Sons,english,417,,9781119092933,0.0
Advanced Data Science and Analytics with Python,Jesús Rogel-Salazar,2020,,CRC Press,english,424,Computers - Computer Science,9780429446610,0.0
Applied Data Science with Python and Jupyter,Alex Galea,2018,,Packt Publishing,english,255,Mathematics - Mathematical Statistics,,0.0
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",EMC Education Services,2015,1,Wiley,english,410,Computers - Cybernetics,9781118876220,3.0
"An Introduction to Data: Everything You Need to Know About AI, Big Data and Data Science",Francesco Corea,2019,1st ed.,Springer International Publishing,english,131,Computers,9783030044688,5.0
"Intro to Python forComputer Science and Data Science : Learning to Program with AI, Big Data and the Cloud",Paul Deitel,2020,,,english,,,,0.0
500 Most Important Data Science Interview Questions and Answers,Vamsee Puligadda,2018,,Indian Wolf Publications,english,141,Mathematics - Mathematical Statistics,,0.0
"AI in Marketing, Sales and Service: How Marketers without a Data Science Degree can use AI, Big Data and Bots",Peter Gentsch,2018,1,Palgrave Macmillan,english,271,Business & Economics - Sales & Marketing,9783319899565,0.0
Practical Data Science with R,"Nina Zumel, John Mount",2014,1,Manning Publications,english,416,Computers - Computer Science,9781617291562,0.0
"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line","Growth, Darwin",2020,,,english,530,Computers - Networking,9781654985530,5.0
Data Visualization and Exploration with R - A Practical Guide to Using R RStudio and Tidyverse for Data Visualization Exploration and Data Science Applications,Eric Pimpler,2017,,Geospatial Training Services,english,238,Mathematics - Mathematical Statistics,,0.0
Data Science Programming All-In-One For Dummies,"John Paul Mueller, Luca Massaron",2020,,John Wiley & Sons,english,768,Computers - Databases,9781119626114,0.0
Data Science from Scratch: First Principles with Python,Joel Grus,2019,,O'Reilly Media,english,,Computers - Programming,9781492041139,5.0
120 real data science interview questions,"Carl Shan, Max Song, Henry Wang, And  William Chen",2015,,,english,19,Science (General) - Science of Science,,5.0
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"Hariom Tatsat, Sahil Puri, Brad Lookabaugh",2020,1,O'Reilly Media,english,432,Computers - Computer Science,9781492073055,0.0
Data Science from Scratch: First Principles with Python,Joel Grus,2019,2,O'Reilly Media,english,406,Computers - Programming,9781492041139,4.5
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","Steven L. Brunton, J. Nathan Kutz",2019,,Cambridge University Press,english,472,Engineering,9781108422093,0.0
"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow (Machine Learning in Python)",LazyProgrammer,2016,,LazyProgrammer.me,english,,Computers - Programming,,0.0
"The Decision Maker’s Handbook To Data Science: A Guide For Non-Technical Executives, Managers, And Founders",Stylianos Kampakis,2020,,Apress,english,154,Business & Economics - Industries,9781484254943,0.0
Probability and Statistics for Data Science: Math + R + Data,Norman S. Matloff,2020,,CRC Press,english,412,Mathematics,9781138393295,5.0
Data Structures and Algorithms with Python: Undergraduate Topics in Computer Science,"Kent Lee, Steve Hubbard",2015,,Springer,english,363,Computers - Programming,9783319130712,0.0
Big Data MBA Driving Business Strategies with Data Science,Schmarzo B.,,,,english,372,Computers - Algorithms and Data Structures,,0.0
Build a Career in Data Science,"Emily Robinson, Jacqueline Nolis",2020,1,Manning Publications,english,322,Computers - Computer Science,9781617296246,5.0
"Big Data, Cloud Computing, Data Science & Engineering",Roger Lee,2019,1st ed.,Springer International Publishing,english,196,,,0.0
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","Paul J. Deitel, Harvey Deitel",2020,1,Pearson,english,880,Computers - Networking,9780135404676,5.0
Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,"Hack, Samuel",2020,,,english,168,,,0.0
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective","Ramesh Sharda, Dursun Delen, Efraim Turban",2017,4,Pearson,english,512,Business & Economics - Management & Leadership,9780134633282,0.0
"Python for Data Science, 2nd Edition","John Paul Mueller, Luca Massaron",2019,2,Wiley,english,,Computers,9781119547662,0.0
"Fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection","Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke",2015,1,John Wiley & Sons,english,400,Business & Economics,9781119146841,0.0
Doing Data Science: Straight Talk from the Frontline,"Rachel Schutt, Cathy O'Neil",2013,1st,O'Reilly Media,english,375,Mathematics,9781449358655,5.0
Data Science from Scratch: First Principles with Python,Joel Grus,2015,1,O'Reilly Media,english,330,Computers - Programming,,0.0
Data Science and Big Data Analytics,"Durgesh Kumar Mishra, Xin-She Yang, Aynur Unal",2019,1st ed.,Springer Singapore,english,418,Computers,9789811076411,0.0
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,Alex Gorelik,2019,Paperback,O’Reilly Media,english,224,Computers - Computer Science,9781491931554,0.0
A Hands-On Introduction to Data Science,Chirag Shah,2020,1,Cambridge University Press,english,424,Computers - Computer Science,9781108472449,0.0
"Data science from scratch: the #1 data science guide for everything a data scientist needs to know: Python, linear algebra, statistics, coding, applications, neural networks, and decision trees","Cooper, Steven",2018,,Steven Cooper;Data Science,english,,Computers - Databases,9781723141201,0.0
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Python for Beginners Crash Course - 4 Books in 1","Academy, Tech Ed",2020,,,english,,,,0.0
"It's All Analytics!: The Foundations of AI, Big Data, and Data Science Landscape for Professionals in Healthcare, Business, and Government","Scott Burk, Gary D. Miner",2020,1st,CRC Press,english,272,Computers - Organization and Data Processing,,0.0
"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning (Machine Learning in Python)",Unknown,2016,,LazyProgrammer,english,,Computers - Programming,,0.0
Data Science Strategy For Dummies,Ulrika Jägare,2019,1st,Wiley,english,320,Computers - Computer Science,9781119566250,0.0
MALWARE DATA SCIENCE  Attack Detection and Attribution,Joshua Saxe,2018,,No Starch Press,english,,Computers - Programming,9781593278595,0.0
Practical Data Science With R,"Nina Zumel, John Mount, Jeremy Howard, Rachel Thomas",2020,2nd Edition,Manning Publications,english,568,Computers - Computer Science,9781617295874,4.0
"Univariate, Bivariate, and Multivariate Statistics Using R: Quantitative Tools for Data Analysis and Data Science",Daniel J. Denis,2020,1,Wiley,english,384,Mathematics,9781119549932,0.0
"Parallel computing for data science : with examples in R, C++ and CUDA","Matloff, Norman S.",2016,2,CRC Press,english,310,Science (General),9781466587038,0.0
Data Science with Julia,"Paul D. McNicholas, Peter A. Tait",2019,,CRC Press,english,241,Computers - Programming,9781138499980,4.0
"Detecting regime change in computational finance: data science, machine learning and algorithmic trading","Chen, Jun, Tsang, Edward",2021,First edition,CRC Press,english,165,Computers,9781003087595,0.0
Data science : fondamentaux et études de cas : Machine learning avec Python et R,"Eric Biernat, Michel Lutz, Yann LeCun",2015,,Eyrolles,french,298,Computers,,0.0
"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",Stephen Klosterman,2021,2,Packt Publishing,english,420,Computers - Databases,9781800564480,4.0
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization",Stefanie Molin,2021,2,Packt Publishing,english,788,Computers - Databases,9781800563452,4.0
Foundations of Data Science,"Avrim Blum, John Hopcroft, Ravindran Kannan",2020,1st,Cambridge University Press,english,424,,,0.0
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,Joshua Cook,2017,1st ed.,Apress,english,257,Computers - Computer Science,9781484230114,0.0
